Time;	Terminal_IsWork;	Terminal_PowerConsumption;	Terminal_Coordinate;	
367;0.000000;0.000000;10.000000_10.000000;
368;0.000000;0.000000;10.000000_10.000000;
369;0.000000;0.000000;10.000000_10.000000;
370;0.000000;0.000000;10.000000_10.000000;
371;0.000000;0.000000;10.000000_10.000000;
372;0.000000;0.000000;10.000000_10.000000;
373;0.000000;0.000000;10.000000_10.000000;
374;0.000000;0.000000;10.000000_10.000000;
375;0.000000;0.000000;10.000000_10.000000;
376;0.000000;0.000000;10.000000_10.000000;
377;0.000000;0.000000;10.000000_10.000000;
378;0.000000;0.000000;10.000000_10.000000;
379;0.000000;0.000000;10.000000_10.000000;
380;0.000000;0.000000;10.000000_10.000000;
381;0.000000;0.000000;10.000000_10.000000;
382;0.000000;0.000000;10.000000_10.000000;
383;0.000000;0.000000;10.000000_10.000000;
384;0.000000;0.000000;10.000000_10.000000;
385;0.000000;0.000000;10.000000_10.000000;
386;0.000000;0.000000;10.000000_10.000000;
387;0.000000;0.000000;10.000000_10.000000;
388;0.000000;0.000000;10.000000_10.000000;
389;0.000000;0.000000;10.000000_10.000000;
390;0.000000;0.000000;10.000000_10.000000;
391;0.000000;0.000000;10.000000_10.000000;
392;0.000000;0.000000;10.000000_10.000000;
393;0.000000;0.000000;10.000000_10.000000;
394;0.000000;0.000000;10.000000_10.000000;
395;0.000000;0.000000;10.000000_10.000000;
396;0.000000;0.000000;10.000000_10.000000;
397;0.000000;0.000000;10.000000_10.000000;
398;0.000000;0.000000;10.000000_10.000000;
399;0.000000;0.000000;10.000000_10.000000;
400;1.000000;99.986293;10.000000_10.000000;
401;1.000000;98.306363;10.000000_10.000000;
402;1.000000;99.928476;10.000000_10.000000;
403;1.000000;101.871829;10.000000_10.000000;
404;1.000000;99.717213;10.000000_10.000000;
405;1.000000;100.463631;10.000000_10.000000;
406;1.000000;99.198011;10.000000_10.000000;
407;1.000000;99.840217;10.000000_10.000000;
408;1.000000;98.488066;10.000000_10.000000;
409;1.000000;99.476000;10.000000_10.000000;
410;1.000000;98.565133;10.000000_10.000000;
411;1.000000;97.721303;10.000000_10.000000;
412;1.000000;96.409042;10.000000_10.000000;
413;1.000000;94.356305;10.000000_10.000000;
414;1.000000;94.984116;10.000000_10.000000;
415;1.000000;93.671703;10.000000_10.000000;
416;1.000000;94.379543;10.000000_10.000000;
417;1.000000;94.429970;10.000000_10.000000;
418;1.000000;96.655994;10.000000_10.000000;
419;1.000000;95.592982;10.000000_10.000000;
420;1.000000;95.813356;10.000000_10.000000;
421;1.000000;96.863799;10.000000_10.000000;
422;1.000000;94.990843;10.000000_10.000000;
423;1.000000;94.855403;10.000000_10.000000;
424;1.000000;95.294298;10.000000_10.000000;
425;1.000000;97.411347;10.000000_10.000000;
426;1.000000;97.172288;10.000000_10.000000;
427;1.000000;96.377181;10.000000_10.000000;
428;1.000000;98.052624;10.000000_10.000000;
429;1.000000;97.731566;10.000000_10.000000;
430;1.000000;95.304068;10.000000_10.000000;
431;1.000000;94.565190;10.000000_10.000000;
432;1.000000;95.030835;10.000000_10.000000;
433;1.000000;96.614254;10.000000_10.000000;
434;1.000000;95.328761;10.000000_10.000000;
435;1.000000;96.165157;10.000000_10.000000;
436;1.000000;96.083177;10.000000_10.000000;
437;1.000000;95.996394;10.000000_10.000000;
438;1.000000;95.060217;10.000000_10.000000;
439;1.000000;96.068270;10.000000_10.000000;
440;1.000000;94.543454;10.000000_10.000000;
441;1.000000;95.119331;10.000000_10.000000;
442;1.000000;92.935697;10.000000_10.000000;
443;1.000000;92.535998;10.000000_10.000000;
444;1.000000;93.442776;10.000000_10.000000;
445;1.000000;94.255432;10.000000_10.000000;
446;1.000000;94.904098;10.000000_10.000000;
447;1.000000;94.178632;10.000000_10.000000;
448;1.000000;92.693540;10.000000_10.000000;
449;1.000000;93.199211;10.000000_10.000000;
450;1.000000;93.791762;10.000000_10.000000;
451;1.000000;94.873787;10.000000_10.000000;
452;1.000000;94.059649;10.000000_10.000000;
453;1.000000;95.190427;10.000000_10.000000;
454;1.000000;93.773102;10.000000_10.000000;
455;1.000000;95.746624;10.000000_10.000000;
456;1.000000;96.631115;10.000000_10.000000;
457;1.000000;97.370973;10.000000_10.000000;
458;1.000000;96.189208;10.000000_10.000000;
459;1.000000;96.345231;10.000000_10.000000;
460;1.000000;94.358803;10.000000_10.000000;
461;1.000000;93.228842;10.000000_10.000000;
462;1.000000;94.987995;10.000000_10.000000;
463;1.000000;95.871977;10.000000_10.000000;
464;1.000000;93.924531;10.000000_10.000000;
465;1.000000;92.098993;10.000000_10.000000;
466;1.000000;91.461672;10.000000_10.000000;
467;1.000000;91.812384;10.000000_10.000000;
468;1.000000;92.240282;10.000000_10.000000;
469;1.000000;93.008444;10.000000_10.000000;
470;1.000000;92.026171;10.000000_10.000000;
471;1.000000;93.295061;10.000000_10.000000;
472;1.000000;92.307904;10.000000_10.000000;
473;1.000000;91.521635;10.000000_10.000000;
474;1.000000;90.101910;10.000000_10.000000;
475;1.000000;92.284012;10.000000_10.000000;
476;1.000000;89.993424;10.000000_10.000000;
477;1.000000;91.466577;10.000000_10.000000;
478;1.000000;90.695875;10.000000_10.000000;
479;1.000000;89.281931;10.000000_10.000000;
480;1.000000;88.998447;10.000000_10.000000;
481;1.000000;91.039346;10.000000_10.000000;
482;1.000000;92.946304;10.000000_10.000000;
483;1.000000;94.177245;10.000000_10.000000;
484;1.000000;95.114663;10.000000_10.000000;
485;1.000000;93.312921;10.000000_10.000000;
486;1.000000;94.179732;10.000000_10.000000;
487;1.000000;93.632698;10.000000_10.000000;
488;1.000000;94.916747;10.000000_10.000000;
489;1.000000;97.019396;10.000000_10.000000;
490;1.000000;99.038723;10.000000_10.000000;
491;1.000000;100.830914;10.000000_10.000000;
492;1.000000;99.336339;10.000000_10.000000;
493;1.000000;100.794878;10.000000_10.000000;
494;1.000000;101.036998;10.000000_10.000000;
495;1.000000;100.012930;10.000000_10.000000;
496;1.000000;102.037854;10.000000_10.000000;
497;1.000000;104.127808;10.000000_10.000000;
498;1.000000;106.074889;10.000000_10.000000;
499;1.000000;106.065045;10.000000_10.000000;
500;1.000000;106.469150;10.000000_10.000000;
501;1.000000;104.673850;10.000000_10.000000;
502;1.000000;103.490570;10.000000_10.000000;
503;1.000000;105.377095;10.000000_10.000000;
504;1.000000;105.337045;10.000000_10.000000;
505;1.000000;105.145659;10.000000_10.000000;
506;1.000000;106.980147;10.000000_10.000000;
507;1.000000;106.958630;10.000000_10.000000;
508;1.000000;105.841197;10.000000_10.000000;
509;1.000000;104.149967;10.000000_10.000000;
510;1.000000;105.109076;10.000000_10.000000;
511;1.000000;106.304956;10.000000_10.000000;
512;1.000000;104.386461;10.000000_10.000000;
513;1.000000;104.924619;10.000000_10.000000;
514;1.000000;104.884862;10.000000_10.000000;
515;1.000000;106.658117;10.000000_10.000000;
516;1.000000;107.854031;10.000000_10.000000;
517;1.000000;106.118701;10.000000_10.000000;
518;1.000000;104.643468;10.000000_10.000000;
519;1.000000;104.635753;10.000000_10.000000;
520;1.000000;102.654259;10.000000_10.000000;
521;1.000000;100.797441;10.000000_10.000000;
522;1.000000;100.094090;10.000000_10.000000;
523;1.000000;99.217300;10.000000_10.000000;
524;1.000000;101.359875;10.000000_10.000000;
525;1.000000;103.430072;10.000000_10.000000;
526;1.000000;104.061489;10.000000_10.000000;
527;1.000000;105.814029;10.000000_10.000000;
528;1.000000;107.497148;10.000000_10.000000;
529;1.000000;107.476048;10.000000_10.000000;
530;1.000000;106.589219;10.000000_10.000000;
531;1.000000;106.026039;10.000000_10.000000;
532;1.000000;106.868051;10.000000_10.000000;
533;1.000000;107.449856;10.000000_10.000000;
534;1.000000;106.154581;10.000000_10.000000;
535;1.000000;104.303404;10.000000_10.000000;
536;1.000000;102.074154;10.000000_10.000000;
537;1.000000;100.072726;10.000000_10.000000;
538;1.000000;100.809298;10.000000_10.000000;
539;1.000000;100.121770;10.000000_10.000000;
540;1.000000;99.061829;10.000000_10.000000;
541;1.000000;98.226667;10.000000_10.000000;
542;1.000000;96.218662;10.000000_10.000000;
543;1.000000;95.869040;10.000000_10.000000;
544;1.000000;97.951770;10.000000_10.000000;
545;1.000000;98.361062;10.000000_10.000000;
546;1.000000;97.207589;10.000000_10.000000;
547;1.000000;97.979158;10.000000_10.000000;
548;1.000000;99.261596;10.000000_10.000000;
549;1.000000;99.199195;10.000000_10.000000;
550;1.000000;97.499278;10.000000_10.000000;
551;1.000000;99.366568;10.000000_10.000000;
552;1.000000;99.990914;10.000000_10.000000;
553;1.000000;100.079480;10.000000_10.000000;
554;1.000000;98.617537;10.000000_10.000000;
555;1.000000;98.901361;10.000000_10.000000;
556;1.000000;98.536412;10.000000_10.000000;
557;1.000000;100.161962;10.000000_10.000000;
558;1.000000;99.633049;10.000000_10.000000;
559;1.000000;98.359375;10.000000_10.000000;
560;1.000000;97.503715;10.000000_10.000000;
561;1.000000;98.621888;10.000000_10.000000;
562;1.000000;99.305604;10.000000_10.000000;
563;1.000000;101.712994;10.000000_10.000000;
564;1.000000;100.890354;10.000000_10.000000;
565;1.000000;102.895854;10.000000_10.000000;
566;1.000000;101.023533;10.000000_10.000000;
567;1.000000;100.572907;10.000000_10.000000;
568;1.000000;98.085782;10.000000_10.000000;
569;1.000000;99.475079;10.000000_10.000000;
570;1.000000;100.839808;10.000000_10.000000;
571;1.000000;99.799535;10.000000_10.000000;
572;1.000000;97.876737;10.000000_10.000000;
573;1.000000;99.665604;10.000000_10.000000;
574;1.000000;100.766938;10.000000_10.000000;
575;1.000000;98.495462;10.000000_10.000000;
576;1.000000;98.244816;10.000000_10.000000;
577;1.000000;100.634460;10.000000_10.000000;
578;1.000000;101.680601;10.000000_10.000000;
579;1.000000;100.210721;10.000000_10.000000;
580;1.000000;100.079916;10.000000_10.000000;
581;1.000000;101.907281;10.000000_10.000000;
582;1.000000;99.838153;10.000000_10.000000;
583;1.000000;97.839190;10.000000_10.000000;
584;1.000000;97.266322;10.000000_10.000000;
585;1.000000;96.302233;10.000000_10.000000;
586;1.000000;97.058783;10.000000_10.000000;
